,Library,Nodes,Const Nodes,Ratio of Const-Nodes,mode usage(0),bitwidth usage(0),mode usage(1),bitwidth usage(1)
1,zlib,32726,24792,0.24243720589134,44.092807424594,21.7587006960557,40.6728538283063,31.4570765661253
2,libjpeg,66887,52302,0.218054330437903,44.8540145985401,19.5138686131387,40.7649635036496,27.8379562043796
3,libpng,31934,22605,0.29213377591282,37.1492805755396,16.705035971223,32.7320143884892,23.5179856115108
4,libgif,4562,2960,0.351161771153003,41.0483870967742,17.6774193548387,36.5322580645161,27.7741935483871
5,libtiff,51683,36172,0.300118027204303,41.1068158697864,18.5768056968464,37.1373346897253,27.6622583926755
